"agentName","patientgetAliveTime"
"2229",24540
"2299",0
"2171",13740
"2207",10680
"2304",14700
"2186",10500
"2343",23520
"2487",11700
"2520",7980
"2350",26880
"2523",0
"2319",14340
"2293",24240
"2380",12900
"2435",16680
"2310",26520
"2505",0
"2326",27600
"2503",0
"2318",24660
"2316",23760
"2351",22140
"2390",11520
"2339",9180
"2531",0
"2454",15420
"2425",14760
"2315",26400
"2436",13200
"2499",0
"2393",7200
"2400",8820
"2508",0
"2533",0
"2376",12900
"2335",25620
"2347",23340
"2394",7620
"2295",25620
"2493",11760
"2403",11460
"2412",10260
"2467",16920
"2365",8040
"2368",7620
"2528",0
"2288",23280
"2391",10740
"2430",11760
"2490",20160
"2277",28560
"2452",19140
"2369",10200
"2349",31320
"2530",8460
"2330",9600
"2361",23940
"2448",14340
"2404",11340
"2472",10620
"2371",15180
"2535",0
"2345",8640
"2421",10920
"2385",9840
"2446",20760
"2515",0
"2439",27720
"2373",10440
"2328",25260
"2548",0
"2491",0
"2506",0
"2512",0
"2539",0
"2388",8580
"2443",19920
"2500",14100
"2323",10080
"2334",10380
"2367",11340
"2444",15060
"2486",18360
"2521",0
"2290",23760
"2543",0
"2492",20280
"2507",14100
"2456",19140
"2478",19260
"2396",9000
"2437",14100
"2534",0
"2502",14460
"2475",11820
"2321",28560
"2501",0
"2432",13800
"2342",23760
"2513",0
"2514",0
"2426",12540
"2399",15720
"2344",23340
"2474",12360
"2522",0
"2536",0
"2544",0
"2509",0
"2542",0
"2384",13560
"2356",21840
"2422",10140
"2532",0
"2538",0
"2526",0
"2359",21360
"2352",7620
"2451",17040
"2431",12120
"2357",11040
"2440",16140
"2285",30840
"2546",0
"2292",27720
"2314",24000
"2477",20940
"2494",0
"2329",24540
"2273",27600
"2401",8760
"2511",0
"2488",12840
"2327",26700
"2336",26400
"2428",11520
"2312",24780
"2418",10500
"2473",16920
"2495",21000
"2550",0
"2429",14220
"2457",15840
"2279",26940
"2453",21420
"2402",8520
"2517",7560
"2466",13860
"2291",23760
"2476",12540
"2498",0
"2462",12540
"2504",0
"2355",9780
"2280",26040
"2311",27060
"2346",22380
"2389",6120
"2445",16380
"2308",23280
"2354",22320
"2398",9240
"2406",10680
"2337",10800
"2420",10500
"2471",21060
"2510",0
"2286",24780
"2372",9960
"2341",24660
"2417",14640
"2358",20760
"2463",11760
"2464",19800
"2353",21720
"2408",8280
"2298",25920
"2370",9540
"2379",12420
"2392",6360
"2416",10920
"2460",11580
"2527",0
"2324",23280
"2449",16080
"2465",10020
"2362",9780
"2387",8580
"2407",9360
"2459",19680
"2442",16200
"2303",28620
"2481",12960
"2480",16500
"2489",19380
"2469",16140
"2333",27180
"2529",0
"2479",8400
"2551",0
"2519",0
"2348",7620
"2483",14040
"2375",10620
"2484",0
"2516",0
"2419",10260
"2434",13500
"2395",10620
"2413",9540
"2378",12660
"2427",14520
"2271",27780
"2547",0
"2322",29220
"2496",21060
"2301",26760
"2364",11100
"2325",23940
"2405",11940
"2397",11280
"2525",0
"2374",11640
"2545",0
"2360",21300
"2541",0
"2377",15480
"2381",13380
"2468",13200
"2309",23760
"2497",0
"2340",25440
"2383",14340
"2537",0
"2458",19620
"2485",21960
"2438",15120
"2317",27360
"2461",13860
"2482",17280
"2415",11940
"2433",15180
"2300",26880
"2307",22860
"2386",8040
"2363",21240
"2540",0
"2423",11700
"2424",12660
"2331",7860
"2338",26100
"2414",10560
"2549",0
"2524",0
"2455",26700
"2409",12240
"2332",27960
"2447",11040
"2410",11280
"2441",15900
"2470",21840
"2299",23940
"2518",6960
"2382",22680
"2450",14700
"2366",22320
"2411",12180
